Datum;Uhrzeit;ug/m
09.01.19;23:00;20,619
10.01.19;00:00;15,375
10.01.19;01:00;10,75
10.01.19;02:00;9,763
10.01.19;03:00;14,317
10.01.19;04:00;16,19
10.01.19;05:00;
10.01.19;06:00;41,283
10.01.19;07:00;
10.01.19;08:00;80,141
10.01.19;09:00;71,624
10.01.19;10:00;60,56
10.01.19;11:00;62,861
10.01.19;12:00;
10.01.19;13:00;
10.01.19;14:00;
10.01.19;15:00;76,879
10.01.19;16:00;66,269
10.01.19;17:00;70,342
10.01.19;18:00;80,221
10.01.19;19:00;72,462
10.01.19;20:00;63,396
10.01.19;21:00;47,314
10.01.19;22:00;37,643
10.01.19;23:00;36,697
11.01.19;00:00;21,899
11.01.19;01:00;20,931
11.01.19;02:00;16,179
11.01.19;03:00;18,461
11.01.19;04:00;19,923
11.01.19;05:00;24,082
11.01.19;06:00;35,503
11.01.19;07:00;40,874
11.01.19;08:00;66,459
11.01.19;09:00;61,749
11.01.19;10:00;52,946
11.01.19;11:00;43,384
11.01.19;12:00;45,519
11.01.19;13:00;49,301
11.01.19;14:00;33,406
11.01.19;15:00;40,905
11.01.19;16:00;32,027
11.01.19;17:00;40,012
11.01.19;18:00;35,501
11.01.19;19:00;37,117
11.01.19;20:00;47,858
11.01.19;21:00;22,194
11.01.19;22:00;27,897
11.01.19;23:00;27,788
12.01.19;00:00;38,84
12.01.19;01:00;25,911
12.01.19;02:00;25,304
12.01.19;03:00;16,826
12.01.19;04:00;14,096
12.01.19;05:00;13,857
12.01.19;06:00;17,782
12.01.19;07:00;20,258
12.01.19;08:00;20,362
12.01.19;09:00;23,314
12.01.19;10:00;39,779
12.01.19;11:00;29,907
12.01.19;12:00;33,886
12.01.19;13:00;35,147
12.01.19;14:00;35,399
12.01.19;15:00;34,848
12.01.19;16:00;30,378
12.01.19;17:00;44,61
12.01.19;18:00;28,871
12.01.19;19:00;29,07
12.01.19;20:00;22,98
12.01.19;21:00;21,097
12.01.19;22:00;19,168
12.01.19;23:00;
13.01.19;00:00;16,611
13.01.19;01:00;21,007
13.01.19;02:00;16,236
13.01.19;03:00;10,977
13.01.19;04:00;17,767
13.01.19;05:00;12,917
13.01.19;06:00;15,38
13.01.19;07:00;14,085
13.01.19;08:00;10,136
13.01.19;09:00;10,097
13.01.19;10:00;15,565
13.01.19;11:00;13,394
13.01.19;12:00;16,36
13.01.19;13:00;22,498
13.01.19;14:00;20,681
13.01.19;15:00;21,403
13.01.19;16:00;14,675
13.01.19;17:00;7,788
13.01.19;18:00;17,307
13.01.19;19:00;13,842
13.01.19;20:00;13,245
13.01.19;21:00;8,54
13.01.19;22:00;12,695
13.01.19;23:00;9,327
14.01.19;00:00;
14.01.19;01:00;3,639
14.01.19;02:00;4,207
14.01.19;03:00;6,739
14.01.19;04:00;5,124
14.01.19;05:00;6,912
14.01.19;06:00;14,308
14.01.19;07:00;21,692
14.01.19;08:00;14,947
14.01.19;09:00;32,139
14.01.19;10:00;33,319
14.01.19;11:00;35,761
14.01.19;12:00;32,609
14.01.19;13:00;33,391
14.01.19;14:00;15,331
14.01.19;15:00;34,41
14.01.19;16:00;47,535
14.01.19;17:00;41,17
14.01.19;18:00;40,881
14.01.19;19:00;60,463
