Lufthygienisches Überwachungssystem Niedersachsen;
Osnabrück (Verkehrsstation);;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Kohlenmonoxid;;Temperatur;;Luftdruck;;Relative Feuchte;;
Datum;Uhrzeit;µg/m³;Status;µg/m³;Status;µg/m³;Status;mg/m³;Status;°C;Status;hPa;Status;%;Status;
03.01.2019;01:00;24,396; ;56,564;;88,782;;0,77472; ;1,27;;1028,2;;75,2;;
03.01.2019;02:00;25,119; ;47,919;;89,524;;0,74501; ;1,15;;1028,4;;81,1;;
03.01.2019;03:00;25,469; ;28,428;;37,049;;0,68730; ;1,94;;1028,6;;83,8;;
03.01.2019;04:00;25,329; ;32,119;;42,043;;0,59814;E;2,21;;1028,4;;86,7;;
03.01.2019;05:00;24,867; ;28,222;;43,840;;0,51362;E;2,67;;1028,3;;88,6;;
03.01.2019;06:00;24,381; ;29,778;;55,848;;0,44705;E;3,02;;1028,1;;89,1;;
03.01.2019;07:00;23,749; ;34,717;;88,283;;0,38727;E;3,11;;1028,1;;91,2;;
03.01.2019;08:00;23,581; ;;*;;*;0,35359;E;3,06;;1028,2;;92,9;;
03.01.2019;09:00;23,619; ;;*;;*;0,33061;E;3,11;;1028,7;;94,3;;
03.01.2019;10:00;22,913; ;52,385;;152,569;;0,33957;E;3,31;;1029,1;;94,4;;
03.01.2019;11:00;22,859; ;;*;;*;;*;;*;;*;;*;
03.01.2019;12:00;22,339; ;46,209;;117,462;;;*;4,04;;1029,0;;92,7;;
03.01.2019;13:00;22,468; ;55,288;;156,045;;;*;4,29;;1028,8;;92,5;;
03.01.2019;14:00;22,012; ;58,210;;151,730;;;*;4,60;;1028,6;;92,1;;
03.01.2019;15:00;21,520; ;58,604;;181,674;;;*;4,75;;1028,5;;91,1;;
03.01.2019;16:00;21,809; ;78,385;;192,787;;0,60946; ;4,86;;1028,7;;89,7;;
03.01.2019;17:00;22,422; ;;*;;*;0,60946; ;4,41;;1029,0;;90,4;;
03.01.2019;18:00;22,834; ;;*;;*;;*;3,99;;1029,5;;91,3;;
03.01.2019;19:00;22,920; ;87,574;;276,554;;0,69576; ;3,61;;1029,3;;91,7;;
03.01.2019;20:00;23,182; ;86,827;;305,570;;0,81454; ;2,85;;1029,4;;94,3;;
03.01.2019;21:00;22,795; ;;*;;*;;*;2,71;;1029,6;;94,7;;
03.01.2019;22:00;;*;;*;;*;;*;;*;;*;;*;
03.01.2019;23:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;00:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;01:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;02:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;03:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;04:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;05:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;06:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;07:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;08:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;09:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;10:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;11:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;12:00;;*;;*;;*;;*;;*;;*;;*;
04.01.2019;13:00;;*;;*;;*;;*;4,10;;1025,3;;95,0;;
04.01.2019;14:00;;*;40,044;;109,822;;;*;4,26;;1024,5;;94,3;;
04.01.2019;15:00;;*;42,191;;127,196;;;*;4,34;;1024,1;;95,2;;
04.01.2019;16:00;;*;33,915;;102,036;;;*;4,40;;1024,2;;96,9;;
