Lufthygienisches ‹berwachungssystem Niedersachsen;
Hannover;;Feinstaub (PM10);;Stickstoffdioxid;;Stickstoffoxide;;Ozon;;Temperatur;;Luftdruck;;Windrichtung;;Windgeschwindigkeit;;Relative Feuchte;;Regendauer;;Globalstrahlung;;
Datum;Uhrzeit;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;µg/m≥;Status;∞C;Status;hPa;Status;Grad;Status;m/s;Status;%;Status;min;Status;W/m≤;Status;
20.01.2019;12:00;27,761; ;25,540;;44,118;;12,641;;-4,45;;1008,0;;112,0;;0,71;;98,5;;0;;82,7;;
20.01.2019;13:00;29,524; ;25,914;;44,740;;15,222;;-3,86;;1008,2;;118,5;;0,68;;95,5;;0;;122,9;;
20.01.2019;14:00;31,003; ;28,000;;44,715;;16,868;;-3,38;;1008,3;;97,2;;0,77;;91,9;;0;;81,3;;
20.01.2019;15:00;32,532; ;30,874;;46,290;;16,737;;-3,65;;1008,5;;94,7;;0,68;;92,5;;0;;52,4;;
20.01.2019;16:00;34,105; ;34,625;;49,156;;12,792;;-3,39;;1008,7;;117,7;;0,38;;92,0;;0;;31,0;;
20.01.2019;17:00;35,332; ;39,136;;50,186;;7,023;;-3,83;;1008,9;;138,4;;0,23;;93,1;;0;;4,3;;
20.01.2019;18:00;36,464; ;46,779;;77,400;;1,694;E;-4,42;;1009,4;;80,1;;0,28;;95,9;;0;;0,0;;
20.01.2019;19:00;37,660; ;45,214;;75,734;;1,961;E;-4,49;;1009,9;;106,3;;0,24;;97,7;;0;;0,0;;
20.01.2019;20:00;39,075; ;47,270;;91,540;;3,182;E;-4,58;;1010,3;;184,8;;0,14;;98,5;;0;;0,0;;
20.01.2019;21:00;40,325; ;45,660;;105,259;;2,864;E;-4,96;;1010,7;;42,4;;0,27;;98,7;;0;;0,0;;
20.01.2019;22:00;41,448; ;44,908;;119,203;;2,507;E;-4,83;;1011,1;;102,9;;0,48;;99,0;;0;;0,0;;
20.01.2019;23:00;42,752; ;44,325;;131,786;;2,901;E;-5,32;;1011,7;;123,9;;0,40;;99,1;;0;;0,0;;
21.01.2019;00:00;44,044; ;;*;;*;2,266;E;-5,80;;1011,9;;134,9;;0,44;;99,6;;0;;0,0;;
21.01.2019;01:00;44,633; ;38,058;;46,695;;1,664;E;-6,02;;1012,0;;138,1;;0,50;;99,9;;0;;0,0;;
21.01.2019;02:00;45,011; ;39,281;;45,666;;2,201;E;-6,11;;1012,1;;131,5;;0,47;;99,5;;0;;0,0;;
21.01.2019;03:00;45,523; ;35,208;;38,927;;4,449;;-6,12;;1012,1;;128,3;;0,37;;99,1;;0;;0,0;;
21.01.2019;04:00;45,860; ;34,470;;39,614;;3,965;E;-6,55;;1012,0;;108,4;;0,24;;98,2;;0;;0,0;;
21.01.2019;05:00;46,133; ;34,394;;42,190;;2,511;E;-7,04;;1011,8;;113,8;;0,24;;97,8;;0;;0,0;;
21.01.2019;06:00;46,355; ;36,845;;61,219;;1,989;E;-7,14;;1011,7;;56,6;;0,20;;97,7;;0;;0,0;;
21.01.2019;07:00;46,508; ;41,253;;98,002;;1,376;E;-7,24;;1011,6;;127,4;;0,19;;97,7;;0;;0,0;;
21.01.2019;08:00;46,559; ;44,333;;132,936;;1,129;E;-7,09;;1011,5;;148,5;;0,49;;98,0;;0;;0,0;;
21.01.2019;09:00;46,386; ;46,162;;96,614;;2,611;E;-6,32;;1011,7;;160,7;;0,93;;98,4;;0;;3,8;;
21.01.2019;10:00;46,063; ;35,064;;53,138;;11,951;;-5,05;;1011,7;;162,9;;0,74;;98,4;;0;;24,7;;
21.01.2019;11:00;45,368; ;27,952;;40,718;;21,203;;-3,48;;1011,6;;157,3;;0,87;;97,1;;0;;75,5;;
21.01.2019;12:00;44,373; ;20,090;;27,081;;32,709;;0,08;;1011,3;;176,8;;0,64;;80,3;;0;;247,5;;
21.01.2019;13:00;43,250; ;20,033;;27,169;;35,799;;1,68;;1010,9;;184,7;;0,87;;64,9;;0;;202,1;;
21.01.2019;14:00;42,294; ;17,487;;22,520;;39,444;;0,27;;1010,3;;178,6;;1,26;;66,7;;0;;63,0;;
21.01.2019;15:00;41,210; ;20,605;;25,577;;37,996;;0,37;;1009,6;;187,3;;0,98;;64,3;;0;;55,0;;
21.01.2019;16:00;40,046; ;25,777;;29,662;;33,614;;0,08;;1009,2;;192,9;;0,65;;65,6;;0;;30,3;;
21.01.2019;17:00;39,094; ;46,150;;55,839;;13,510;;-0,55;;1008,6;;187,0;;0,84;;69,5;;0;;2,7;;
21.01.2019;18:00;38,253; ;54,093;;68,103;;5,563;;-1,67;;1008,4;;186,5;;1,03;;74,6;;0;;0,0;;
21.01.2019;19:00;37,453; ;55,222;;80,616;;2,847;E;-2,41;;1008,2;;173,0;;0,90;;77,7;;0;;0,0;;
21.01.2019;20:00;36,256; ;45,752;;57,889;;5,893;;-2,07;;1007,8;;168,9;;0,71;;76,9;;0;;0,0;;
21.01.2019;21:00;35,130; ;46,438;;59,632;;3,939;E;-1,77;;1007,5;;158,7;;0,50;;77,1;;0;;0,0;;
21.01.2019;22:00;34,061; ;46,576;;54,946;;5,282;;-1,39;;1007,3;;172,7;;0,73;;75,9;;0;;0,0;;
21.01.2019;23:00;32,810; ;46,664;;54,101;;;*;-1,15;;1007,0;;140,3;;0,21;;75,8;;0;;0,0;;
22.01.2019;00:00;31,476; ;47,345;;52,342;;5,076;;-0,97;;1006,6;;169,0;;0,51;;73,6;;0;;0,0;;
22.01.2019;01:00;30,800; ;;*;;*;5,660;;-1,00;;1006,2;;162,0;;0,57;;76,1;;0;;0,0;;
22.01.2019;02:00;30,272; ;51,142;;57,373;;2,922;E;-1,16;;1005,6;;160,5;;0,57;;75,9;;0;;0,0;;
22.01.2019;03:00;29,669; ;52,091;;63,220;;1,276;E;-1,50;;1005,1;;153,4;;0,74;;77,8;;0;;0,0;;
22.01.2019;04:00;29,275; ;48,845;;55,270;;1,797;E;-2,15;;1004,2;;156,3;;0,92;;79,8;;0;;0,0;;
22.01.2019;05:00;29,056; ;43,735;;48,089;;3,293;E;-3,22;;1003,4;;158,2;;0,91;;83,2;;0;;0,0;;
22.01.2019;06:00;29,040; ;37,118;;41,998;;6,422;;-4,08;;1002,6;;155,8;;1,06;;85,6;;0;;0,0;;
22.01.2019;07:00;29,105; ;32,308;;38,336;;9,505;;-4,68;;1001,9;;153,3;;1,10;;85,9;;0;;0,0;;
22.01.2019;08:00;29,180; ;35,930;;46,288;;7,649;;-4,94;;1001,4;;152,8;;1,09;;85,8;;0;;0,0;;
22.01.2019;09:00;29,453; ;37,380;;56,354;;6,598;;-4,97;;1000,9;;152,0;;0,98;;85,5;;0;;7,5;;
22.01.2019;10:00;29,683; ;31,377;;46,134;;13,929;;-4,13;;1000,5;;152,7;;1,12;;81,8;;0;;35,1;;
22.01.2019;11:00;29,912; ;26,405;;38,625;;21,651;;-2,85;;999,9;;150,2;;1,11;;75,5;;0;;110,9;;
22.01.2019;12:00;30,220; ;27,508;;42,150;;24,455;;-0,56;;999,1;;136,4;;1,04;;66,0;;0;;252,9;;
22.01.2019;13:00;30,399; ;26,675;;38,467;;29,479;;-0,01;;998,0;;138,3;;1,30;;63,0;;0;;172,3;;
22.01.2019;14:00;30,670; ;28,291;;39,780;;29,033;;-0,42;;996,9;;139,4;;1,50;;65,3;;0;;117,3;;
22.01.2019;15:00;30,935; ;28,706;;37,901;;30,232;;0,11;;995,9;;144,6;;1,19;;62,8;;0;;85,9;;
22.01.2019;16:00;31,284; ;29,770;;36,433;;28,824;;-0,64;;995,1;;147,3;;1,45;;66,3;;0;;46,0;;
22.01.2019;17:00;31,619; ;36,618;;42,861;;20,726;;-1,26;;994,6;;140,5;;0,88;;71,7;;0;;9,4;;
22.01.2019;18:00;31,862; ;32,997;;36,554;;23,933;;-2,04;;994,1;;146,2;;1,32;;73,2;;0;;0,0;;
22.01.2019;19:00;32,072; ;30,626;;33,411;;24,512;;-2,60;;993,7;;145,6;;1,44;;76,0;;0;;0,0;;
22.01.2019;20:00;32,405; ;28,001;;30,314;;24,351;;-3,12;;993,2;;149,7;;1,40;;79,6;;0;;0,0;;
22.01.2019;21:00;32,711; ;25,163;;26,909;;26,207;;-3,56;;993,0;;149,6;;1,34;;80,9;;0;;0,0;;
22.01.2019;22:00;33,004; ;25,515;;27,119;;24,126;;-4,11;;992,9;;159,4;;0,94;;83,0;;0;;0,0;;
22.01.2019;23:00;33,332; ;25,319;;26,795;;21,890;;-4,54;;992,8;;158,9;;1,02;;85,1;;0;;0,0;;
23.01.2019;00:00;33,768; ;29,370;;31,209;;;*;-4,99;;992,4;;151,0;;0,69;;87,4;;0;;0,0;;
23.01.2019;01:00;34,043; ;30,840;;33,053;;15,140;;-5,14;;991,8;;146,7;;0,72;;87,4;;0;;0,0;;
23.01.2019;02:00;34,299; ;;*;;*;16,951;;-5,35;;991,2;;138,8;;0,70;;87,7;;0;;0,0;;
23.01.2019;03:00;34,562; ;27,996;;29,424;;15,087;;-5,61;;990,8;;147,9;;0,87;;88,5;;0;;0,0;;
23.01.2019;04:00;34,808; ;30,368;;32,476;;12,458;;-5,99;;990,6;;139,7;;0,65;;89,7;;0;;0,0;;
23.01.2019;05:00;34,937; ;29,727;;31,744;;13,578;;-6,18;;990,4;;128,9;;0,67;;89,8;;0;;0,0;;
23.01.2019;06:00;34,896; ;30,305;;33,814;;13,460;;-6,23;;990,3;;131,5;;0,71;;89,7;;0;;0,0;;
23.01.2019;07:00;34,821; ;36,233;;42,968;;9,413;;-6,36;;990,2;;124,6;;0,70;;89,3;;0;;0,0;;
23.01.2019;08:00;34,816; ;41,373;;52,837;;6,370;;-6,29;;990,4;;118,9;;0,86;;87,9;;0;;0,0;;
23.01.2019;09:00;34,828; ;44,372;;63,333;;6,064;;-6,15;;990,6;;117,2;;0,93;;86,1;;0;;3,0;;
23.01.2019;10:00;34,873; ;37,410;;59,069;;10,034;;-6,22;;990,8;;109,9;;1,00;;86,3;;0;;42,8;;
23.01.2019;11:00;34,938; ;29,761;;46,159;;17,080;;-5,48;;991,0;;106,4;;1,13;;83,7;;0;;103,4;;
23.01.2019;12:00;34,997; ;27,213;;41,457;;20,883;;-4,73;;991,2;;105,4;;1,33;;79,8;;0;;121,5;;
23.01.2019;13:00;35,513; ;36,405;;68,893;;9,445;;-4,83;;991,2;;98,6;;1,09;;83,4;;0;;80,9;;
23.01.2019;14:00;36,002; ;28,220;;45,064;;17,951;;-4,70;;991,2;;100,7;;1,01;;82,4;;0;;128,8;;
23.01.2019;15:00;36,503; ;30,117;;44,464;;19,871;;-4,04;;991,2;;102,3;;1,12;;79,9;;0;;102,5;;
23.01.2019;16:00;37,126; ;39,358;;57,878;;12,274;;-3,76;;991,6;;90,8;;1,06;;81,2;;0;;46,3;;
23.01.2019;17:00;38,432; ;43,791;;56,922;;11,479;;-3,80;;992,1;;91,4;;1,14;;83,0;;0;;8,9;;
23.01.2019;18:00;39,854; ;43,594;;50,288;;15,129;;-4,21;;992,7;;90,8;;1,24;;83,8;;0;;0,0;;
23.01.2019;19:00;41,021; ;36,881;;40,020;;27,297;;-4,26;;993,3;;99,5;;1,31;;81,8;;0;;0,0;;
23.01.2019;20:00;41,953; ;39,852;;42,174;;23,992;;-4,05;;993,8;;101,4;;1,11;;80,9;;0;;0,0;;
23.01.2019;21:00;43,004; ;29,412;;30,764;;33,468;;-3,86;;994,3;;108,0;;1,22;;80,6;;0;;0,0;;
23.01.2019;22:00;44,597; ;30,208;;31,374;;31,850;;-3,83;;994,9;;111,0;;1,04;;80,7;;0;;0,0;;
23.01.2019;23:00;46,435; ;31,455;;32,519;;29,891;;-4,08;;995,4;;113,7;;1,23;;81,9;;0;;0,0;;
24.01.2019;00:00;48,793; ;32,606;;33,700;;27,012;;-4,81;;996,1;;103,9;;1,50;;84,6;;0;;0,0;;
24.01.2019;01:00;51,404; ;37,415;;38,638;;;*;-5,86;;996,9;;111,2;;1,46;;87,5;;0;;0,0;;
24.01.2019;02:00;52,907; ;24,866;;25,674;;28,288;;-6,53;;997,6;;105,3;;1,64;;88,9;;0;;0,0;;
24.01.2019;03:00;53,394; ;;*;;*;33,289;;-6,50;;998,1;;109,0;;1,56;;86,7;;0;;0,0;;
24.01.2019;04:00;53,266; ;14,948;;15,478;;43,494;;-6,16;;998,3;;110,6;;1,27;;83,6;;0;;0,0;;
24.01.2019;05:00;53,074; ;14,422;;14,957;;44,231;;-5,82;;998,5;;108,1;;1,18;;82,7;;0;;0,0;;
24.01.2019;06:00;52,779; ;18,829;;20,202;;41,668;;-5,46;;998,6;;106,0;;0,82;;80,8;;0;;0,0;;
24.01.2019;07:00;52,592; ;33,260;;40,739;;26,523;;-5,20;;998,8;;91,8;;0,80;;81,4;;0;;0,0;;
24.01.2019;08:00;52,454; ;38,051;;42,577;;19,880;;-5,10;;999,4;;114,6;;0,68;;83,4;;0;;0,0;;
24.01.2019;09:00;52,433; ;30,260;;34,302;;24,070;;-5,32;;999,8;;150,8;;0,82;;81,8;;0;;5,2;;
24.01.2019;10:00;52,486; ;20,881;;23,463;;35,740;;-5,55;;1000,3;;177,5;;0,98;;80,1;;0;;42,5;;
24.01.2019;11:00;52,871; ;23,281;;28,483;;35,929;;-4,98;;1000,8;;255,2;;0,30;;77,4;;0;;100,0;;
24.01.2019;12:00;53,360; ;33,690;;45,977;;27,578;;-3,76;;1000,9;;288,3;;0,34;;72,7;;0;;137,9;;
24.01.2019;13:00;53,537; ;40,601;;55,146;;21,068;;-3,32;;1000,8;;278,4;;0,23;;72,6;;0;;93,7;;
24.01.2019;14:00;53,772; ;47,225;;66,458;;16,083;;-3,15;;1000,6;;328,8;;0,35;;73,0;;0;;67,7;;
24.01.2019;15:00;53,944; ;43,033;;59,981;;18,750;;-2,78;;1000,6;;68,1;;0,49;;74,3;;0;;63,2;;
24.01.2019;16:00;53,768; ;41,267;;50,506;;20,849;;-2,57;;1000,7;;101,4;;0,63;;74,7;;0;;40,0;;
24.01.2019;17:00;52,614; ;42,312;;48,669;;24,646;;-2,58;;1001,2;;89,5;;0,57;;74,1;;0;;4,3;;
24.01.2019;18:00;51,149; ;40,661;;46,230;;28,930;;-2,59;;1001,7;;86,5;;0,67;;73,1;;0;;0,0;;
24.01.2019;19:00;49,872; ;35,956;;39,969;;31,371;;-2,65;;1002,0;;91,5;;0,76;;73,8;;0;;0,0;;
24.01.2019;20:00;48,759; ;31,716;;33,377;;33,712;;-2,77;;1002,2;;103,9;;0,91;;75,7;;0;;0,0;;
24.01.2019;21:00;47,553; ;25,511;;26,648;;35,603;;-2,90;;1002,8;;107,2;;0,89;;78,0;;0;;0,0;;
24.01.2019;22:00;46,013; ;27,222;;28,268;;29,253;;-2,97;;1003,2;;118,6;;0,60;;81,9;;0;;0,0;;
24.01.2019;23:00;44,245; ;29,982;;31,166;;23,952;;-3,09;;1003,2;;127,2;;0,40;;85,0;;0;;0,0;;
25.01.2019;00:00;41,929; ;26,275;;27,089;;27,505;;-3,21;;1003,3;;124,6;;0,47;;86,1;;0;;0,0;;
25.01.2019;01:00;39,418; ;23,508;;24,269;;30,078;;-3,33;;1003,3;;132,8;;0,42;;85,6;;0;;0,0;;
25.01.2019;02:00;38,009; ;19,571;;20,340;;;*;-3,38;;1003,6;;171,8;;0,35;;85,5;;0;;0,0;;
25.01.2019;03:00;38,303; ;22,273;;23,539;;18,761;;-3,56;;1003,6;;259,4;;0,59;;86,6;;0;;0,0;;
25.01.2019;04:00;39,697; ;;*;;*;19,231;;-4,06;;1003,7;;270,2;;0,82;;85,8;;0;;0,0;;
25.01.2019;05:00;41,333; ;22,588;;23,653;;21,629;;-4,31;;1003,7;;279,4;;0,85;;83,6;;0;;0,0;;
25.01.2019;06:00;43,286; ;25,873;;27,377;;17,749;;-4,35;;1003,8;;274,1;;0,56;;83,5;;0;;0,0;;
25.01.2019;07:00;45,238; ;27,844;;30,114;;15,443;;-4,40;;1004,2;;280,5;;0,55;;83,9;;0;;0,0;;
25.01.2019;08:00;47,237; ;31,470;;36,973;;12,188;;-4,41;;1004,4;;278,6;;0,52;;84,0;;0;;0,0;;
25.01.2019;09:00;49,066; ;29,686;;33,696;;13,131;;-4,46;;1004,4;;259,4;;0,52;;84,3;;0;;2,8;;
25.01.2019;10:00;50,630; ;31,625;;45,859;;13,122;;-4,33;;1004,6;;231,0;;0,39;;85,1;;15;;10,2;;
25.01.2019;11:00;50,653; ;21,216;;24,828;;32,225;;-4,03;;1004,6;;218,3;;0,87;;82,5;;7;;69,0;;
25.01.2019;12:00;50,190; ;18,719;;22,339;;36,791;;-3,63;;1004,3;;199,1;;1,13;;76,3;;0;;94,7;;
25.01.2019;13:00;49,848; ;18,928;;22,027;;38,010;;-4,11;;1004,0;;195,6;;1,31;;75,7;;0;;52,6;;
25.01.2019;14:00;49,541; ;19,148;;22,216;;37,132;;-3,91;;1003,4;;199,7;;1,20;;75,2;;0;;67,2;;
25.01.2019;15:00;49,112; ;21,665;;26,091;;36,498;;-3,44;;1002,9;;185,8;;1,73;;72,9;;0;;100,3;;
25.01.2019;16:00;48,782; ;29,876;;34,833;;28,495;;-3,24;;1002,4;;186,8;;1,22;;72,3;;0;;51,0;;
25.01.2019;17:00;48,708; ;45,304;;51,083;;14,203;;-2,98;;1002,0;;184,2;;0,73;;73,9;;0;;7,8;;
25.01.2019;18:00;48,851; ;45,389;;50,555;;10,719;;-2,73;;1001,5;;161,3;;0,62;;77,5;;0;;0,0;;
25.01.2019;19:00;49,058; ;42,479;;46,850;;11,321;;-2,49;;1000,9;;168,9;;0,92;;83,2;;0;;0,0;;
25.01.2019;20:00;49,319; ;40,738;;44,965;;12,139;;-2,37;;1000,2;;154,5;;0,93;;90,7;;55;;0,0;;
25.01.2019;21:00;49,291; ;32,840;;35,073;;19,336;;-2,52;;998,8;;158,7;;1,25;;96,7;;49;;0,0;;
25.01.2019;22:00;49,025; ;35,880;;38,568;;17,797;;-2,34;;997,6;;150,9;;1,09;;98,0;;56;;0,2;;
25.01.2019;23:00;48,535; ;30,159;;31,990;;22,706;;-1,39;;996,7;;171,5;;1,72;;99,9;;32;;1,2;;
26.01.2019;00:00;47,683; ;29,208;;31,093;;24,171;;-0,13;;995,6;;182,9;;2,10;;100,0;;41;;0,4;;
26.01.2019;01:00;46,579; ;32,598;;34,627;;18,790;;0,21;;994,9;;188,7;;1,18;;100,0;;60;;0,0;;
26.01.2019;02:00;45,240; ;24,899;;25,732;;25,005;;0,95;;994,3;;208,6;;0,82;;100,0;;52;;0,0;;
26.01.2019;03:00;43,026; ;23,137;;23,702;;;*;1,96;;993,8;;243,0;;1,10;;100,0;;16;;0,0;;
26.01.2019;04:00;40,317; ;24,391;;25,206;;23,198;;2,48;;993,7;;252,2;;1,01;;100,0;;0;;0,0;;
26.01.2019;05:00;37,466; ;;*;;*;25,410;;3,09;;993,4;;256,5;;1,07;;100,0;;4;;0,0;;
26.01.2019;06:00;34,399; ;21,364;;22,147;;27,460;;3,59;;993,2;;251,2;;1,09;;100,0;;60;;0,0;;
26.01.2019;07:00;31,235; ;22,243;;23,117;;24,619;;3,61;;993,0;;215,5;;0,76;;100,0;;60;;0,0;;
26.01.2019;08:00;27,955; ;35,448;;39,389;;9,410;;3,39;;992,2;;176,3;;0,74;;100,0;;60;;0,0;;
26.01.2019;09:00;24,719; ;34,558;;39,924;;9,739;;3,45;;991,7;;210,1;;0,81;;100,0;;60;;2,0;;
26.01.2019;10:00;21,699; ;17,142;;18,164;;34,910;;5,37;;991,4;;252,1;;1,64;;100,0;;60;;12,7;;
26.01.2019;11:00;20,006; ;16,175;;17,703;;36,691;;5,80;;991,4;;251,0;;1,85;;99,9;;58;;26,0;;
26.01.2019;12:00;18,775; ;16,295;;18,131;;36,674;;5,89;;991,5;;253,1;;1,88;;100,0;;60;;41,4;;
26.01.2019;13:00;17,458; ;17,469;;19,961;;36,399;;5,97;;991,3;;255,3;;1,78;;100,0;;46;;38,0;;
26.01.2019;14:00;16,114; ;17,735;;20,066;;36,926;;6,04;;991,1;;251,8;;1,62;;100,0;;59;;46,8;;
26.01.2019;15:00;14,986; ;19,681;;22,243;;34,100;;6,01;;990,9;;248,1;;1,62;;99,7;;33;;34,6;;
26.01.2019;16:00;13,869; ;20,266;;22,285;;32,825;;5,75;;990,6;;244,6;;1,49;;100,0;;9;;16,6;;
26.01.2019;17:00;12,756; ;18,382;;19,567;;37,359;;5,45;;990,5;;240,3;;1,61;;100,0;;9;;3,9;;
26.01.2019;18:00;11,706; ;13,414;;14,534;;52,576;;5,38;;990,2;;239,7;;1,83;;99,2;;0;;0,0;;
26.01.2019;19:00;10,703; ;13,105;;13,602;;52,890;;5,31;;989,6;;230,9;;1,13;;97,9;;3;;0,0;;
26.01.2019;20:00;9,604; ;16,536;;17,669;;47,776;;5,12;;988,7;;225,6;;1,06;;97,0;;0;;0,0;;
26.01.2019;21:00;8,666; ;17,296;;17,703;;48,701;;5,18;;987,9;;193,7;;1,64;;95,0;;3;;0,0;;
26.01.2019;22:00;7,692; ;16,189;;16,879;;49,626;;5,20;;987,2;;191,0;;1,84;;95,4;;16;;0,0;;
26.01.2019;23:00;6,825; ;11,818;;12,125;;50,160;;4,96;;986,1;;180,4;;2,24;;96,3;;10;;0,0;;
27.01.2019;00:00;6,288; ;10,710;;11,097;;48,200;;4,75;;985,3;;184,3;;2,11;;95,8;;0;;0,0;;
27.01.2019;01:00;5,946; ;9,281;;9,642;;52,133;;4,82;;984,1;;184,0;;2,96;;93,4;;0;;0,0;;
27.01.2019;02:00;5,830; ;8,295;;8,588;;53,612;;4,65;;983,0;;183,7;;2,96;;91,1;;0;;0,0;;
27.01.2019;03:00;5,799; ;8,686;;8,885;;51,688;;4,43;;982,1;;168,2;;1,62;;91,8;;0;;0,0;;
27.01.2019;04:00;5,734; ;8,874;;9,070;;;*;4,40;;980,8;;166,5;;1,91;;91,6;;0;;0,0;;
27.01.2019;05:00;5,643; ;8,936;;9,118;;46,335;;4,23;;979,4;;160,7;;1,69;;92,5;;0;;0,0;;
27.01.2019;06:00;5,591; ;9,335;;9,546;;44,872;;4,09;;978,6;;152,7;;1,06;;94,3;;38;;0,0;;
27.01.2019;07:00;5,519; ;7,626;;7,747;;50,342;;4,25;;977,5;;172,2;;2,27;;94,5;;10;;0,0;;
27.01.2019;08:00;5,449; ;7,653;;7,781;;52,162;;4,58;;976,6;;180,5;;3,07;;90,5;;0;;0,0;;
27.01.2019;09:00;5,362; ;7,931;;8,205;;51,318;;4,69;;976,1;;175,3;;2,59;;89,1;;0;;8,7;;
27.01.2019;10:00;5,272; ;7,896;;8,304;;53,435;;5,21;;975,7;;177,7;;2,60;;86,0;;0;;30,2;;
27.01.2019;11:00;5,157; ;8,276;;9,242;;54,222;;6,11;;975,2;;181,5;;3,03;;83,9;;0;;69,0;;
27.01.2019;12:00;5,056; ;8,516;;9,269;;55,774;;6,12;;974,8;;183,5;;3,01;;85,3;;0;;83,6;;
27.01.2019;13:00;4,958; ;8,719;;9,755;;53,519;;6,72;;974,2;;170,6;;1,52;;84,9;;0;;129,7;;
27.01.2019;14:00;4,818; ;8,080;;8,910;;59,430;;7,44;;973,5;;181,8;;2,74;;79,2;;0;;120,3;;
27.01.2019;15:00;4,700; ;9,888;;10,700;;57,593;;7,18;;973,1;;182,8;;2,44;;80,1;;0;;59,4;;
27.01.2019;16:00;4,591; ;10,774;;11,431;;58,717;;6,50;;972,9;;182,5;;2,63;;84,6;;7;;20,8;;
27.01.2019;17:00;4,442; ;11,227;;11,657;;56,242;;6,00;;973,0;;181,7;;1,86;;87,1;;0;;2,4;;
27.01.2019;18:00;4,195; ;12,427;;12,891;;56,280;;5,78;;973,2;;189,1;;1,97;;88,9;;0;;0,0;;
27.01.2019;19:00;3,867; ;14,387;;14,821;;51,734;;5,32;;973,4;;198,0;;1,03;;92,8;;16;;0,0;;
27.01.2019;20:00;3,538; ;12,413;;13,210;;51,701;;4,96;;973,8;;228,3;;1,29;;95,7;;15;;0,0;;
27.01.2019;21:00;3,275; ;9,547;;9,758;;55,956;;4,21;;974,7;;255,4;;1,36;;97,1;;18;;0,0;;
27.01.2019;22:00;3,205; ;8,586;;8,914;;60,093;;3,58;;975,6;;256,2;;1,27;;95,9;;0;;0,0;;
27.01.2019;23:00;3,290; ;;*;;*;57,512;;3,41;;976,2;;245,4;;1,01;;94,0;;0;;0,0;;
28.01.2019;00:00;3,436; ;8,879;;9,026;;54,974;;3,52;;976,6;;239,2;;1,27;;91,6;;0;;0,0;;
28.01.2019;01:00;3,586; ;7,455;;7,598;;55,188;;3,18;;977,0;;220,8;;1,04;;90,0;;0;;0,0;;
28.01.2019;02:00;3,796; ;10,195;;10,539;;50,483;;2,86;;977,3;;179,0;;1,30;;88,8;;0;;0,0;;
28.01.2019;03:00;4,075; ;11,044;;11,423;;48,628;;2,95;;977,5;;179,6;;1,72;;86,6;;0;;0,0;;
28.01.2019;04:00;4,308; ;10,483;;10,798;;49,083;;3,08;;977,3;;175,7;;1,67;;85,5;;0;;0,0;;
28.01.2019;05:00;4,473; ;9,790;;10,092;;;*;3,08;;977,1;;172,9;;1,52;;86,5;;2;;0,0;;
28.01.2019;06:00;4,607; ;13,088;;13,582;;44,550;;2,88;;976,7;;174,4;;2,00;;88,0;;1;;0,0;;
28.01.2019;07:00;4,726; ;16,887;;17,842;;40,159;;2,89;;976,3;;174,2;;1,60;;87,2;;0;;0,0;;
28.01.2019;08:00;4,801; ;20,605;;22,432;;36,321;;2,91;;976,3;;164,0;;1,22;;86,2;;0;;0,0;;
28.01.2019;09:00;4,854; ;18,946;;20,584;;37,057;;3,03;;976,7;;168,1;;1,45;;84,0;;0;;4,3;;
28.01.2019;10:00;4,911; ;15,952;;17,844;;40,304;;3,12;;976,9;;178,2;;2,44;;84,5;;0;;21,0;;
28.01.2019;11:00;4,963; ;;*;;*;;*;3,01;;977,2;;180,9;;2,11;;88,2;;0;;49,2;;
28.01.2019;12:00;5,013; ;;*;;*;;*;3,45;;977,6;;191,7;;1,36;;87,5;;4;;89,1;;
28.01.2019;13:00;5,058; ;;*;;*;;*;3,73;;977,8;;200,9;;0,99;;87,0;;0;;86,1;;
28.01.2019;14:00;5,135; ;;*;;*;;*;3,28;;978,5;;241,1;;0,67;;91,7;;28;;40,1;;
28.01.2019;15:00;5,293; ;27,632;;32,242;;21,628;;2,57;;979,4;;280,2;;0,84;;97,2;;7;;20,7;;
28.01.2019;16:00;5,628; ;32,411;;39,049;;15,929;;2,07;;980,5;;297,4;;1,05;;99,3;;27;;7,8;;
28.01.2019;17:00;6,303; ;30,373;;34,491;;14,050;;2,19;;981,4;;277,9;;0,80;;100,0;;8;;2,1;;
28.01.2019;18:00;7,169; ;29,228;;32,534;;14,353;;2,52;;982,3;;296,3;;1,00;;100,0;;22;;0,0;;
28.01.2019;19:00;7,386; ;20,609;;23,442;;17,736;;2,01;;983,7;;304,3;;1,78;;98,2;;9;;0,0;;
28.01.2019;20:00;7,424; ;14,887;;16,178;;32,938;;0,89;;985,1;;308,9;;2,15;;97,0;;41;;0,0;;
28.01.2019;21:00;7,520; ;12,108;;12,786;;39,936;;0,67;;986,6;;301,7;;1,69;;96,0;;38;;0,0;;
28.01.2019;22:00;7,541; ;14,056;;14,767;;36,545;;0,25;;987,8;;294,9;;1,26;;99,8;;60;;0,0;;
28.01.2019;23:00;7,551; ;12,802;;13,511;;41,496;;0,39;;988,8;;292,6;;1,28;;99,3;;4;;0,0;;
29.01.2019;00:00;7,543; ;10,023;;10,714;;48,308;;0,17;;989,6;;278,6;;0,89;;96,5;;0;;0,0;;
29.01.2019;01:00;7,633; ;8,943;;9,392;;49,074;;-0,01;;990,2;;265,7;;1,04;;96,8;;0;;0,0;;
